polarity	predict	P(s=-1)	P(s=1)
1	1	0.36013	0.63987
-1	-1	0.70301	0.29699
1	1	0.16923	0.83077
1	1	0.27659	0.72341
1	1	0.41726	0.58274
-1	-1	0.64706	0.35294
-1	-1	0.83445	0.16555
1	-1	0.64329	0.35671
-1	1	0.40938	0.59062
1	1	0.47584	0.52416
1	1	0.40385	0.59615
-1	-1	0.69061	0.30939
1	1	0.26386	0.73614
1	1	0.49463	0.50537
1	1	0.30386	0.69614
1	1	0.31942	0.68058
-1	-1	0.72617	0.27383
-1	-1	0.60680	0.39320
-1	-1	0.54166	0.45834
1	1	0.24580	0.75420
1	1	0.24707	0.75293
-1	-1	0.61815	0.38185
1	-1	0.53560	0.46440
-1	-1	0.54057	0.45943
1	-1	0.50263	0.49737
-1	-1	0.58478	0.41522
1	1	0.35336	0.64664
1	1	0.28518	0.71482
1	1	0.11490	0.88510
1	1	0.12098	0.87902
1	1	0.31107	0.68893
1	-1	0.55129	0.44871
1	1	0.18211	0.81789
1	1	0.36746	0.63254
-1	-1	0.57592	0.42408
1	1	0.13027	0.86973
1	1	0.29372	0.70628
1	1	0.24123	0.75877
1	1	0.32549	0.67451
1	1	0.43817	0.56183
1	-1	0.65894	0.34106
1	1	0.26821	0.73179
1	1	0.29617	0.70383
-1	-1	0.63688	0.36312
1	1	0.38799	0.61201
-1	-1	0.75169	0.24831
1	1	0.23350	0.76650
1	1	0.30482	0.69518
1	1	0.15836	0.84164
1	1	0.29701	0.70299
-1	-1	0.76385	0.23615
-1	-1	0.66515	0.33485
1	1	0.43869	0.56131
1	1	0.26030	0.73970
-1	-1	0.62192	0.37808
1	1	0.33197	0.66803
-1	1	0.48887	0.51113
-1	1	0.45003	0.54997
-1	-1	0.80128	0.19872
-1	-1	0.77862	0.22138
1	1	0.42645	0.57355
1	1	0.19298	0.80702
1	1	0.42987	0.57013
1	-1	0.79191	0.20809
1	1	0.27492	0.72508
-1	-1	0.70588	0.29412
-1	-1	0.81359	0.18641
1	1	0.46259	0.53741
1	1	0.21266	0.78734
-1	-1	0.82331	0.17669
-1	-1	0.66739	0.33261
-1	-1	0.77279	0.22721
-1	-1	0.54008	0.45992
-1	-1	0.75848	0.24152
1	1	0.25832	0.74168
-1	-1	0.68467	0.31533
1	1	0.38103	0.61897
-1	-1	0.68735	0.31265
-1	-1	0.69527	0.30473
1	1	0.23565	0.76435
1	1	0.21503	0.78497
1	1	0.38636	0.61364
-1	-1	0.60440	0.39560
-1	1	0.47144	0.52856
-1	-1	0.91550	0.08450
-1	-1	0.65621	0.34379
1	1	0.20472	0.79528
1	1	0.36681	0.63319
-1	-1	0.66212	0.33788
-1	-1	0.69619	0.30381
1	1	0.41751	0.58249
-1	-1	0.89456	0.10544
-1	-1	0.67438	0.32562
-1	-1	0.62069	0.37931
1	1	0.29976	0.70024
1	1	0.41753	0.58247
-1	-1	0.89906	0.10094
1	1	0.24299	0.75701
1	1	0.23661	0.76339
-1	-1	0.75887	0.24113
-1	1	0.46021	0.53979
1	-1	0.51777	0.48223
1	1	0.31789	0.68211
1	1	0.34008	0.65992
-1	-1	0.81757	0.18243
1	1	0.24171	0.75829
